candidate_id,scene,seed,target,spawn_ok,reachable_count,before_object_id,after_object_id,after_pairing_method,p_stale,p_true,g_passive,g_active,d_passive,d_active,qualifies,status
FloorPlan1|Apple|23,FloorPlan1,23,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-01.91|+00.82|-01.50,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -1.9081000089645386, 'y': 0.8159813284873962, 'z': -1.5012340545654297}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.25, 'y': 0.900999128818512, 'z': -1.5}",2.1976,0.6581,True,qualifies
FloorPlan1|Book|23,FloorPlan1,23,Book,True,162,Book|+00.15|+01.10|+00.62,Book|-00.20|+01.11|-00.51,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': -0.19729512929916382, 'y': 1.1071525812149048, 'z': -0.5065479278564453}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': -0.25, 'y': 0.900999128818512, 'z': -1.25}",1.8126,0.7453,False,below_threshold
FloorPlan3|Cup|23,FloorPlan3,23,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|-01.95|+01.05|-00.63,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': -1.9545440673828125, 'y': 1.046301245689392, 'z': -0.6334444284439087}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': -1.0, 'y': 1.123205542564392, 'z': -0.75}",2.2076,0.9616,True,qualifies
FloorPlan201|Newspaper|23,FloorPlan201,23,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.40|+00.36|+05.00,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -2.402569532394409, 'y': 0.35650137066841125, 'z': 4.999700546264648}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.5, 'y': 0.9026566743850708, 'z': 5.5}",4.3334,0.5097,True,qualifies
FloorPlan201|Pencil|23,FloorPlan201,23,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-01.11|+00.48|+06.02,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -1.1083509922027588, 'y': 0.47519180178642273, 'z': 6.0220627784729}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -1.5, 'y': 0.9026566743850708, 'z': 5.5}",4.2198,0.6526,True,qualifies
FloorPlan1|Apple|29,FloorPlan1,29,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-00.06|+01.16|-00.25,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.0, 'y': 0.900999128818512, 'z': -0.25}",1.2056,0.9409,False,below_threshold
FloorPlan1|Book|29,FloorPlan1,29,Book,True,162,Book|+00.15|+01.10|+00.62,Book|+00.15|+01.10|+00.62,object_id,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': 0.15499892830848694, 'y': 1.099259614944458, 'z': 0.6169992685317993}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}",0.6401,0.6401,False,below_threshold
FloorPlan3|Cup|29,FloorPlan3,29,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|-02.05|+01.32|-02.20,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101832866668701, 'z': -0.901997983455658}","{'x': -2.0498206615448, 'y': 1.3182514905929565, 'z': -2.2013492584228516}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': -1.0, 'y': 1.123205542564392, 'z': -2.25}",2.7195,1.0509,True,qualifies
FloorPlan201|Newspaper|29,FloorPlan201,29,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.05|+00.69|+01.05,unique_type,"{'x': -2.7592267990112305, 'y': 0.68190997838974, 'z': 1.1773186922073364}","{'x': -2.04706072807312, 'y': 0.6894252896308899, 'z': 1.0519264936447144}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.0, 'y': 0.9026566743850708, 'z': 0.5}",1.2403,0.5539,False,below_threshold
FloorPlan201|Pencil|29,FloorPlan201,29,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.48|+00.64|+05.00,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094925165176392}","{'x': -2.4809844493865967, 'y': 0.6448278427124023, 'z': 4.999675750732422}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.5, 'y': 0.9026566743850708, 'z': 5.5}",2.7982,0.5007,True,qualifies
FloorPlan1|Apple|37,FloorPlan1,37,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|+01.85|+00.94|-02.56,unique_type,"{'x': -0.4651539623737335, 'y': 1.151225209236145, 'z': 0.47574010491371155}","{'x': 1.8533639907836914, 'y': 0.9380031824111938, 'z': -2.560202121734619}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': 1.75, 'y': 0.900999128818512, 'z': -2.0}",4.1841,0.5697,True,qualifies
FloorPlan1|Book|37,FloorPlan1,37,Book,True,162,Book|+00.15|+01.10|+00.62,Book|-00.06|+01.11|-00.25,unique_type,"{'x': 0.15499892830848694, 'y': 1.099259614944458, 'z': 0.6169992685317993}","{'x': -0.05909985303878784, 'y': 1.1071525812149048, 'z': -0.25377392768859863}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': -1.0, 'y': 0.900999128818512, 'z': -0.25}",1.5352,0.9409,False,below_threshold
FloorPlan3|Cup|37,FloorPlan3,37,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|+01.29|+01.32|-02.42,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101832866668701, 'z': -0.901997983455658}","{'x': 1.2853460311889648, 'y': 1.3182514905929565, 'z': -2.4241156578063965}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': 0.0, 'y': 1.123205542564392, 'z': -2.25}",1.9684,1.2971,False,below_threshold
FloorPlan201|Newspaper|37,FloorPlan201,37,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.76|+00.25|+06.14,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819102168083191, 'z': 1.1773194074630737}","{'x': -2.7612736225128174, 'y': 0.24761426448822021, 'z': 6.135435104370117}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.75, 'y': 0.9026566743850708, 'z': 5.75}",5.4076,0.3856,True,qualifies
FloorPlan201|Pencil|37,FloorPlan201,37,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.90|+00.61|-00.20,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094929933547974}","{'x': -2.8997719287872314, 'y': 0.6147415041923523, 'z': -0.20023566484451294}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 0.25}",2.4523,0.4613,True,qualifies
FloorPlan1|Apple|43,FloorPlan1,43,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-01.96|+00.82|-01.24,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -1.963379979133606, 'y': 0.8159813284873962, 'z': -1.2421915531158447}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.25, 'y': 0.900999128818512, 'z': -1.25}",1.9908,0.7134,False,below_threshold
FloorPlan1|Book|43,FloorPlan1,43,Book,True,162,Book|+00.15|+01.10|+00.62,Book|-00.06|+01.11|00.00,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': -0.05909985303878784, 'y': 1.1071525812149048, 'z': -0.001000046730041504}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.0}",1.2886,0.9409,False,below_threshold
FloorPlan3|Cup|43,FloorPlan3,43,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|-01.24|+01.32|-03.31,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101832866668701, 'z': -0.901997983455658}","{'x': -1.237309217453003, 'y': 1.3182514905929565, 'z': -3.314365863800049}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': -1.0, 'y': 1.123205542564392, 'z': -2.25}",2.9645,1.0905,True,qualifies
FloorPlan201|Newspaper|43,FloorPlan201,43,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-04.47|+00.47|+05.57,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -4.468652248382568, 'y': 0.4736576974391937, 'z': 5.574780464172363}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -4.25, 'y': 0.9026566743850708, 'z': 5.25}",4.9763,0.3915,True,qualifies
FloorPlan201|Pencil|43,FloorPlan201,43,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.00|+00.73|+06.13,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.003399610519409, 'y': 0.7307149767875671, 'z': 6.134634494781494}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.0, 'y': 0.9026566743850708, 'z': 5.75}",4.0104,0.3846,True,qualifies
FloorPlan1|Apple|53,FloorPlan1,53,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|+01.10|+00.96|-02.25,unique_type,"{'x': -0.4651539623737335, 'y': 1.151225209236145, 'z': 0.47574010491371155}","{'x': 1.0981663465499878, 'y': 0.9569252133369446, 'z': -2.2535502910614014}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': 1.5, 'y': 0.900999128818512, 'z': -2.0}",3.4618,0.4751,True,qualifies
FloorPlan1|Book|53,FloorPlan1,53,Book,True,162,Book|+00.15|+01.10|+00.62,Book|-00.20|+01.11|+00.76,unique_type,"{'x': 0.15499892830848694, 'y': 1.099259614944458, 'z': 0.6169992685317993}","{'x': -0.19729512929916382, 'y': 1.1071525812149048, 'z': 0.7573217153549194}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': -0.25, 'y': 0.900999128818512, 'z': 1.25}",0.6654,0.4955,False,below_threshold
FloorPlan3|Cup|53,FloorPlan3,53,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|+01.22|+01.23|+01.09,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': 1.2245635986328125, 'y': 1.2250908613204956, 'z': 1.0856235027313232}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': 0.25, 'y': 1.123205542564392, 'z': 1.0}",2.0783,0.9783,True,qualifies
FloorPlan201|Newspaper|53,FloorPlan201,53,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-00.82|+00.47|+05.66,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -0.8184103965759277, 'y': 0.47366395592689514, 'z': 5.659886837005615}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -0.5, 'y': 0.9026566743850708, 'z': 5.25}",5.479,0.519,True,qualifies
FloorPlan201|Pencil|53,FloorPlan201,53,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.64|+00.25|+06.05,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.6363131999969482, 'y': 0.24915626645088196, 'z': 6.054827690124512}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.75, 'y': 0.9026566743850708, 'z': 5.75}",3.8222,0.3253,True,qualifies
FloorPlan1|Apple|67,FloorPlan1,67,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-01.91|+00.82|-01.76,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -1.9081000089645386, 'y': 0.8159813284873962, 'z': -1.7602760791778564}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.25, 'y': 0.900999128818512, 'z': -1.75}",2.4359,0.6582,True,qualifies
FloorPlan1|Book|67,FloorPlan1,67,Book,True,162,Book|+00.15|+01.10|+00.62,Book|-00.06|+01.11|-00.25,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': -0.05909985303878784, 'y': 1.1071525812149048, 'z': -0.25377392768859863}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': -1.0, 'y': 0.900999128818512, 'z': -0.25}",1.5352,0.9409,False,below_threshold
FloorPlan3|Cup|67,FloorPlan3,67,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|+00.49|+01.32|-03.12,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': 0.4920377731323242, 'y': 1.318251609802246, 'z': -3.121979236602783}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': 0.0, 'y': 1.123205542564392, 'z': -2.25}",2.3843,1.0012,True,qualifies
FloorPlan201|Newspaper|67,FloorPlan201,67,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.71|+00.69|+01.79,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -2.7125954627990723, 'y': 0.6894288063049316, 'z': 1.7937284708023071}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}",1.174,0.5392,False,below_threshold
FloorPlan201|Pencil|67,FloorPlan201,67,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.10|+00.36|+04.92,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.0950698852539062, 'y': 0.3580213189125061, 'z': 4.92201042175293}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -1.75, 'y': 0.9026566743850708, 'z': 5.0}",2.8211,0.3538,True,qualifies
FloorPlan1|Apple|73,FloorPlan1,73,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-01.91|+00.82|-01.24,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -1.9081000089645386, 'y': 0.8159813284873962, 'z': -1.2421917915344238}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.25, 'y': 0.900999128818512, 'z': -1.25}",1.9647,0.6581,False,below_threshold
FloorPlan1|Book|73,FloorPlan1,73,Book,True,162,Book|+00.15|+01.10|+00.62,Book|+00.71|+00.91|-02.48,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': 0.7115572690963745, 'y': 0.9062525629997253, 'z': -2.4839999675750732}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': 0.75, 'y': 0.900999128818512, 'z': -1.75}",3.7624,0.735,True,qualifies
FloorPlan3|Cup|73,FloorPlan3,73,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|-02.05|+01.32|-03.24,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': -2.0498206615448, 'y': 1.318251609802246, 'z': -3.241100788116455}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': -1.0, 'y': 1.123205542564392, 'z': -2.25}",3.3904,1.4437,True,qualifies
FloorPlan201|Newspaper|73,FloorPlan201,73,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.77|+00.73|+06.54,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -2.767275333404541, 'y': 0.7290444374084473, 'z': 6.538873195648193}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.75, 'y': 0.9026566743850708, 'z': 5.75}",5.809,0.7891,True,qualifies
FloorPlan201|Pencil|73,FloorPlan201,73,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.27|+00.69|+01.18,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.2689435482025146, 'y': 0.6909465789794922, 'z': 1.1755939722061157}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.25, 'y': 0.9026566743850708, 'z': 0.5}",1.2995,0.6759,False,below_threshold
FloorPlan1|Apple|83,FloorPlan1,83,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-01.59|+00.96|-02.33,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -1.5860135555267334, 'y': 0.957625150680542, 'z': -2.329827308654785}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.25, 'y': 0.900999128818512, 'z': -1.75}",2.8899,0.6702,True,qualifies
FloorPlan1|Book|83,FloorPlan1,83,Book,True,162,Book|+00.15|+01.10|+00.62,Book|+00.22|+01.11|00.00,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': 0.2172906994819641, 'y': 1.1071525812149048, 'z': -0.001000046730041504}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': 1.0, 'y': 0.900999128818512, 'z': 0.0}",1.2514,0.7827,False,below_threshold
FloorPlan3|Cup|83,FloorPlan3,83,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|-01.53|+01.32|-02.46,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': -1.5308105945587158, 'y': 1.318251609802246, 'z': -2.461287021636963}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': -1.0, 'y': 1.123205542564392, 'z': -2.25}",2.4698,0.5713,True,qualifies
FloorPlan201|Newspaper|83,FloorPlan201,83,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.14|+00.56|+03.44,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -2.139698028564453, 'y': 0.5580195188522339, 'z': 3.4364631175994873}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.25, 'y': 0.9026566743850708, 'z': 4.25}",2.9069,0.821,True,qualifies
FloorPlan201|Pencil|83,FloorPlan201,83,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-01.08|+00.48|+05.57,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -1.0750457048416138, 'y': 0.47518908977508545, 'z': 5.573294639587402}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -1.25, 'y': 0.9026566743850708, 'z': 5.25}",3.8405,0.3676,True,qualifies
FloorPlan1|Apple|97,FloorPlan1,97,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-00.47|+01.16|+00.76,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -0.47368568181991577, 'y': 1.157825231552124, 'z': 0.7573217153549194}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -0.5, 'y': 0.900999128818512, 'z': 1.25}",0.5859,0.4934,False,below_threshold
